Number;Nama Media;Jenis Media;Penanggung Jawab;Pemimpin Redaksi;Badan Hukum;Provinsi;Alamat;Telp;Email;Website;Status;Tgl Approve
805;beritamerdekaonline.com;Siber;Musda Morri;Musda Morri;pt;Bengkulu;Jl. Gang remaja No.38, RT.02, RW.01 Kelurahan Pasar Ujung, Kecamatan Kepahiang, Kabupaten Kepahiang,;082376455155-082326033526;b.merdekamandiri@gmail.com;www.beritamerdekaonline.com;Terverifikasi Administrasi dan Faktual;2019-08-05
806;RB TV;Televisi;;;PT;Bengkulu;Jl. P. Natadirja No. 69 Kelurahan Jalan Gedang Kota Bengkulu;(0376) 346771;R6tvdaerah@gmail.com;http://www.rbtv.co.id/;Terverifikasi Administrasi dan Faktual;2019-08-05
807;Jatim Pos;Cetak;H.Syaiful Anam;H.Syaiful Anam;PT. Media Utama Jatim;Jawa Timur;JL.Gunungananyar Y tengah, VIII/34, Jl.Amir Muhammad IX/21, Surabaya;(031) 72316006, 0811349194;jatim_pos@yahoo.com;mediautamajatim@yahoo.com;Terverifikasi Administratif dan Faktual;2019-08-02
808;BE TV;Televisi;Edwin Syaputra;Edwin Syaputra;PT. MEDIA SARANA TELEVISI BENGKULU;Bengkulu;JLN. JATI NO.129 KELURAHAN PADANG JADI KECAMATAN RATU SAMBAN KOTA BENGKULU;+62 853-8322-5999;;;Terverifikasi Administratif dan Faktual;2019-08-02
809;Jatimpos.co;Siber;SYAIFUL ANAM;SYAIFUL ANAM;PT ANUGERAH MEDIA UTAMA;Jawa Timur;"Graha Wartawan PWI Jatim
Jl. Taman Apsari 15-17 Surabaya";031-8708234;jatimpos_online@yahoo.com;http://jatimpos.co;Terverifikasi Administratif dan Faktual;2019-08-02
810;kabarbatam.com;Siber;Anwar Sadat Guna;Anwar Sadat Guna;PT BATAM CAKRAWALA MEDIA;Kepulauan Riau;"Perumahan Rose Point
Blok A Nomor 2A, Bida Asri 2
Jl. Raja Ali Kelana, Kota Batam Provinsi Kepulauan Riau";081372022799;redaksi.kabarbatamnews@gmail.com;www.kabarbatam.com;Terverifikasi Administratif dan Faktual;2019-08-02
811;DIMENSINEWS.CO.ID;Siber;BADAR SUBUR, SH;BADAR SUBUR, SH;DIMENSI INSAN MANDIRI;DKI Jakarta;MALL TAMAN PALEM LT. 1 BLOK B/85 JL. KAMAL RAYA OUTER ROAD, KELURAHAN CENGKARENG TIMUR, KECAMATAN CENGKARENG, JAKARTA BARAT11730;085210008005;dimensi.marketing@gmail.com;www.dimensinews.co.id;Terverifikasi Administratif;2019-08-02
812;lenterasultra.com;Siber;Milwan;Sitti Marlina;PT. Kumparan Insan Media;Sulawesi Tenggara;Jalan Balaikota Nomor 31 Belakang Rumah Jabatan Gubernur Sulawesi Tenggara, Kelurahan Mandonga, Kecamatan Mandonga, Kota Kendari Sulawesi Tenggara;04013417509/HP 081341655508;redaksilentera29@gmail.com;redaksilentera29@gmail.com;Terverifikasi Administratif dan Faktual;2019-08-02
813;Sultra TV;Televisi;Purwanto;La Ode Diada Nebansi;SUTRA TELEVISI KENDARI;Sulawesi Tenggara;jl. Malik Raya No. 50 Graha Pena Kendari;0811401718;sultratv2018@gmail.com;sultratv.com;Terverifikasi Administratif;2019-08-02
814;TribunJabar.id;Siber;Tatang Suherman;Tatang Suherman;PT. Bandung Media Grafika;Jawa Barat;Jl Sekelimus Utara 2-4 Soekarno-Hatta Bandung;022 7530666;dewi.bernadeta@gmail.com;;Terverifikasi Administratif dan Faktual;2019-08-02
815;Pedoman.Media;Siber;Marselius Gusti Palumpun;Marselius Gusti Palumpun;Media Rakyat Publik;Sulawesi Selatan;Jl. A.P. Pettarani, Ruko New Zamrud Blok E/18, Rappocini, Makassar-Sulawesi Selatan;085299379841;redaksi.pedomanmedia@gmail.com;https://pedoman.media/;Terverifikasi Administratif;2019-08-02
816;Rakyat Sultra;Cetak;H. ABDUL HALIQ, SE;DRS. IDUL AMIR;KENDARI EKSPRESS;Sulawesi Tenggara;Jl. Syech Yusuf No. 20 Mandonga, Kendari, Sulawesi Tenggara 93111;0401-3128346/ 081355471473;pt.kendariekspres@gmail.com;www.rakyatsultra.com;Terverifikasi Administratif dan Faktual;2019-08-02
817;mediajambi.com;Siber;Ir Fitriani Ulinda;Ir Fitriani Ulinda;PT MEDIA JAMBI BAROKAH;Jambi;Jl. Cut Mutia No 6 Kelurahan Raja Wali, Jambi Timur, Kota Jambi, Provinsi Jambi;0741 -3062094 . 0812 74 55324;maas.kebunjeruk@gmail.com;mediajambi.com;Terverifikasi Administratif;2019-08-02
818;Pilarbangsanews.com;Siber;Gusfen Khairul;Gusfen Khairul;Pilar utama Caniago;Sumatera Barat;Simpang Kampung Pinang, Nagari IV Koto Hilir Kecamatan Batang Kapas Sumbar;081374367263;yuharziyunus75@gmail.com;Https/www.pilarbangsanews.com;Terverifikasi Administratif;2019-08-02
819;Metro Sulawesi;Cetak;UDIN SALIM;UDIN SALIM;PENA METRO SULTENG;Sulawesi Tengah;Kantor Harian Metro Sulawesi, Jln. Sisingamangaraja No 9A Kota Palu;0811454042;udinsalim2@gmail.com;www://http: metrosulawesi.id;Terverifikasi Administratif;2019-08-02
820;SultraKini.com;Siber;M Djufri Rachim;M Djufri Rachim;Sultra Media Utama;Sulawesi Tenggara;Jl. Kedondong No.88-H Anduonohu Kendari, Sulawesi Tenggara. E-mail: office@sultrakini.com dan frirac@gmail.com;08114091933;frirac@gmail.com;www.sultrakini.com;Terverifikasi Administratif dan Faktual;2019-08-02
821;Batam Pos;Cetak;;;PT;Kepulauan Riau;Gedung Graha Pena Batam Lt. 2 Jl. Raya Batam Centre, Batam - 29461;(0778) 460000;redaksi@batampos.co.id;www.batampos.co.id;Terverifikasi Administrasi dan Faktual;2019-08-02
822;Lintas Media;Cetak;;;PT;Sumatera Barat;Komp. Pelana Indah Blok D No. 11, Pampangan Lubuk Begalung, Padang, 25227;0812 6768 832,;lintasmedia_padang@yahoo.com;;Terverifikasi Administrasi dan Faktual;2019-08-02
823;sumselupdate.com;Siber;Edwar Heryadi;Edwar Heryadi;pt;Sumatera Selatan;Jl. Sukabangun 2, Lorong Kaur, RT 63 RW 09, Kelurahan Sukajaya, Kecamatan Sukarami, Kota Palembang;+62 823-7100-1910;redaksi@sumselupdate.com;www.sumselupdate.com;Terverifikasi Administrasi dan Faktual;2019-08-02
824;Koranindonesia.id;Siber;A. ARDIANSYAH;A. ARDIANSYAH;pt;Sumatera Selatan;Jln. Hokky Blok. D No.6 Kampus POM IX Palembang, Sumatera Selatan;0711- 5734268;koranindonesia99@gmail.com;www.Koranindonesia.id;Terverifikasi Administrasi dan Faktual;2019-08-02
825;Jaya Pos;Cetak;Toni Limbong;Toni Limbong;PT. Media Cipta Jaya Selaras;DKI Jakarta;JL. Jend Ahmad Yani No. 2 By Pass Utan Kayu, Jakarta Timur;(021) 8193208;harianjayapos@yahoo.co.id;www.harianjayapos.com;Terverifikasi Administratif;2019-08-01
826;Rotasi;Cetak;;;PT;Sumatera Selatan;Jl. Jend. A, Yani, Kel. 9/10 Ulu Lrg Bahagia RT. 2/1, No. 36, Palembang 30251;085273133337;majalahrotasi@yahoo.com;;Terverifikasi Administrasi dan Faktual;2019-08-01
827;sulutdaily.com;Siber;;;PT;Sulawesi Utara;Jl. Lestari 2 Lingkungan X Kelurahan Malalayang Satu Kecamatan Malalayang. Manado;085397933391;redaksi.sulutdaily@gmail.com;www.sulutdaily.com;Terverifikasi Administrasi dan Faktual;2019-08-01
828;Law-Justice.co;Siber;ROY TUMPAL P;ROY TUMPAL P;Media Keadilan Sejahtera;DKI Jakarta;Graha Cevril, Jl. Senopati Raya No. 6-A Kebayoran Baru, Jakarta Selatan;(021) 22770243;lawjus.ticecosiber@gmail.com;law-justice.co;Terverifikasi Administratif dan Faktual;2019-07-22
829;bonepos.com;Siber;ZAINAL,S.Sos, M.Si;A. DEDHY SENDHY;CIPTA INDOMEDIA MANDIRI;Sulawesi Selatan;BONEPOS SPACE OFFICE, Jalan Bali, No.19, Kelurahan Jepee'E, Kecamatan Tanete Riattang Barat, Kabupaten Bone, Sulawesi Selatan, Telf/Fax : 0481 21531 - 08114223773. Email : redaksibonepos@gmail.com - boneposnews@gmail.com;0481 21531 - 08114223773;boneposnews@gmail.com;www.bonepos.com;Terverifikasi Administratif;2019-07-22
830;Fajar TV;Televisi;;;PT;Sulawesi Selatan;"Gedung Graha Pena Lantai.2 Makasar
Jl. Urip Sumoharjo No.20";0411438847;;;Terverifikasi Administrasi dan Faktual;2019-07-22
831;japos.co;Siber;Toni Limbong SH;Toni Limbong SH;PT Media CIpta Jaya Selaras;DKI Jakarta;Jln. Ahmad Yani No 2 Utan Kayu By Pass Jakarta Timur;(021) 8193208;japos@yahoo.com;www.japos.co;Terverifikasi Administratif;2019-07-15
832;ranaipos.com;Siber;MUHAMMAD RAPI;MUHAMMAD RAPI;RANAI POS MEDIA TAMA;Kepulauan Riau;JL. HANG JEBAT RT.002/RW.001 KEL. RANAI KEC. BUNGURAN TIMUR KABUPATEN NATUNA PROVINSI KEPRI;08127104444;ranaipos@gmail.com;ranaipos.com;Terverifikasi Administratif;2019-07-15
833;Kontan.co.id;Siber;Ardian Taufik Gesuri;Ardian Taufik Gesuri;PT Grahanusa Mediatama;DKI Jakarta;Gedung Kontan, Jalan Raya Kebayoran Lama Nomor 1119, Jakarta Selatan, DKI Jakarta 12210;0215357636;indradie@gmail.com;https://www.kontan.co.id;Terverifikasi Administratif;2019-07-15
834;blokTuban.com;Siber;Sri Wiyono;Sri Wiyono;PT Blok Tuban Promosindo;Jawa Timur;Jalan Sunan Kalijaga, Gg 1 No 26, Kelurahan Latsari, Kecamatan Tuban, Kabupaten Tuban.;0356 8832551;bloktuban@gmail.com;www.blokTuban.com;Terverifikasi Administratif;2019-07-15
835;riaukarya.com;Siber;MOH. RO'UF AZIZI;REZI ANDIKA PUTRA;PT ARKA SAKTI MEDIA;Riau;KOMPLEK PERUM BSD, KEL. PEMATANG REBA, KEC. RENGAT BARAT, KAB. INDRAGIRI HULU, PROV. RIAU;085274460742;roufazizi90@gmail.com;https://riaukarya.com/;Terverifikasi Administratif;2019-07-11
836;waspadaaceh.com;Siber;Aldin Nainggolan;H.Prabudi Said;PT Waspada Aceh Indonesia;Aceh;Jalan Sri Ratu Safiatuddin No 21 C Banda Aceh, Provinsi Aceh;0651 22385 / 081360260710;maskurabdullah@gmail.com;www.waspadaaceh.com;Terverifikasi Administratif dan Faktual;2019-07-10
837;Sulteng Raya;Cetak;Temu Sutrisno;Temu Sutrisno;pt;Sulawesi Tengah;Jln. Rusa no.36;(0451)4012445;sultengraya@gmail.com;;Terverifikasi Administrasi dan Faktual;2019-07-10
838;Detak.media;Siber;Alamsyah;Alamsyah;Gemilang Indah Madani;Kepulauan Riau;"Jl. Raja Haji Fisabilillah KM 8 Atas,
No.8 Kelurahan Sei Jang, Kecamatan Bukit Bestari
Kota Tanjungpinang, Provinsi Kepulauan Riau
Email: redaksi.detakmedia@gmail.com";081275643974;media.detak@gmail.com;www.detak.media;Terverifikasi Administratif;2019-07-09
839;tribun-bali.com;Siber;Sunarko;Sunarko;PT. Bali Media Grafika;Bali;JL. Prof DR Ida Bagus Mantra No. 88A, Ketewel, Gianyar - Bali;+62361 290086;narkosurya@gmail.com;www.tribun-bali.com;Terverifikasi Administratif dan Faktual;2019-07-04
840;LIDIKNUSANTARA.COM;Siber;AZLI RAIS ANDUSPIL;RANDY WARDANA;CIPTA MEDIA PRATAMA;Kepulauan Riau;"JALAN RAHMAN HAKIM GG. MERAPAS NO 1 SEI JANG, KELURAHAN SEI JANG, KECAMATAN BUKIT BESTARI
KOTA TANJUNGPINANG-PROVINSI KEPRI";0813 7202 8496 / 0821 6704 535;lidiknusantararedaksi@gmail.com;www.lidiknusantara.com;Terverifikasi Administratif;2019-07-02
841;Jambiupdate.co;Siber;Pirma Satria;Pirma Satria, M.Pd;JAMBI TODAY ONLINE;Jambi;"Graha Pena Jambi Ekspres Lt. 3
Jl Kapt. Pattimura No. 35 Kenali Besar Jambi";0741668844 / 0812 7491 798;jambiupdatecom@gmail.com;jambiupdate.co;Terverifikasi Administratif dan Faktual;2019-07-01
842;The8news.com;Siber;erni novianti;Erni Novianti;PT Lima Pandya Bersaudara;Sumatera Selatan;Jalan puncak sekuning lrg swadaya rt 57/13 no 4914 campus Palembang;081366670201;redaksi.the8@gmail.com;Www//the8news.com//;Terverifikasi Administratif;2019-07-01
843;Dayak Pos;Cetak;Limson Dedy, SH;Limson Dedy, SH;PT. Dayak Kalteng Sejahtera Pers;Kalimantan Tengah;Jl. R. A. Kartini Nomor 17 Palangka Raya, Kalteng 73111;05363225156;dayakpos1@gmail.com;mediadayakonline.co.id;Terverifikasi Administratif dan Faktual;2019-07-01
844;AJNN.net;Siber;Fauji Yudha;Muhammad Nazar Ahadi;pt;Aceh;Jln. T Hasan Dek, Lorong D, Gampong Beurawe, Kecamatan Kuta Alam, Banda Aceh, 23124;0651-6300572;ajnn.net@gmail.com;www.ajnn.net;Terverifikasi Administrasi dan Faktual;2019-07-01
845;KBA.one;Siber;Azhari Bahrul;Azhari Bahrul;pt;Aceh;Jalan Dr Mr Moh Hasan, Nomor 99, Batoh, Banda Aceh;0651 6301285 / 081263108002;redaksi.kba@gmail.com;http://KBA.one Email : redaksi.kba@gmail.com;Terverifikasi Administrasi dan Faktual;2019-07-01
846;Borneonews.co.id;Siber;Ediya Moralia;Ediya Moralia;pt;Kalimantan Tengah;Jl. Pangeran Antasari No. 40 Pangkalan Bun, Kalimantan Tengah;(0532) 28818;redaksi@borneonews.co.id;http://borneonews.co.id;Terverifikasi Administrasi dan Faktual;2019-07-01
847;imcnews.id;Siber;Ari Widodo;Wisman Wazir;PT. Tamarona Media Sarana;Jambi;Jl. Pangeran Hidayat, Perumahan Taman Adipura Indah, RT.17 Kel. Suka Karya, Kec. Kota Baru, Kota Jambi, 36127;07413041222;red.imcnews@gmail.com;https://www.imcnews.id;Terverifikasi Administratif dan Faktual;2019-06-25
848;potretnusantara.id;Siber;Ernis P Hutabarat;Ernis P Hutabarat;MKbicara Media Publisher;Kepulauan Riau;Perumahan Meral Permata Asri Blok F12, Kampung Bukit, Kecamatan Meral, Kabupaten Karimun, Kepulauan Riau;0812 7000 2005;potretdaftar69@gmail.com;potretredaksi69@gmail.com;Terverifikasi Administratif;2019-06-24
849;Majalah Kepri Info;Cetak;M Danu Januar;M. Danu Januar;Poros Jaya Gemilang;Kepulauan Riau;Jl. Perum Mekar Sari Indah No.43 RT.03 RW 08 Kota Tanjungpinang, Kepulauan Riau;081378366366;majalah.kepriinfo@gmail.com;kepri.info;Terverifikasi Administratif;2019-06-24
850;Nagara;Cetak;A. Edison Nainggolan;Taufik Alwie;Bakti Perdana Nusantara;Banten;Premier Park 2 Blok AB No 6 Modernland Tangerang - 15117;021-29671688;indra688@yahoo.com;www.nagara.id;Terverifikasi Administratif;2019-06-24
851;Majalah Detak Media;Cetak;Alamsyah;Alamsyah;Karya Gutama Sukses;Kepulauan Riau;Jl. Durian No 15, Kelurahan Sei Jang, Kecamatan Bukit Bestari, Kota Tanjungpinang - Kepulauan Riau;081275643974;majalah.detakmedia@gmail.com;detak.media;Terverifikasi Administratif;2019-06-24
852;Beritamusi.co.id;Siber;ROMI MARADONA;M. SYARIFUDDIN BASRIE;PT MUSI INTERMEDIA SUMATERA;Sumatera Selatan;Jalan Sukakarya KM.8, Nomor 2215 Sukarami Palembang, Sumatera-Selatan;081373723397;romimaradona@gmail.com;www.beritamusi.co.id;Terverifikasi Administratif dan Faktual;2019-06-21
853;MODUS ACEH;Cetak;MUHAMMAD SALEH;MUHAMMAD SALEH;AGSHA MEDIA MANDIRI;Aceh;Jalan Teuku Iskandar No. 15 Beurawe, Kecamatan Kuta Alam, Kota Banda Aceh, Provinsi Aceh, Indonesia;(0651) 635322;redaksi.modusaceh@gmail.com;modusaceh.co;Terverifikasi Administratif dan Faktual;2019-06-21
854;mattanews.co;Siber;Ardhy Fitriansyah;Ardhy Fitriansyah;Matta Media Mandiri;Sumatera Selatan;Jl. Cendana II Rt 047 Rw. 011Kel. Lorong Pakjo Kec. Ilir Barat I Kota Palembang;0821-76736733;mattanewsco@gmail.com;www.mattanews.co;Terverifikasi Administratif dan Faktual;2019-06-21
855;JARRAKPOS.com;Siber;I Putu Suasta;Ida Bagus Alit Sumertha;PT. JARRAK POS;Bali;Jalan Danau Tempe No.30, Desa Sanur Kauh, Denpasar Selatan, Denpasar - Bali;0361 - 4481522;jarrakpers@gmail.com;www.jarrakpos.com;Terverifikasi Administratif dan Faktual;2019-06-21
856;Tribun Bali;Cetak;Sunarko;Sunarko;pt;Bali;Jl. Prof. Dr. Ida Bagus Mantra No. 88A, Ketewel, Gianyar, Bali;(0361)290086, (0361)292208;redaksi.tribunbali@gmail.com;tribun-bali.com;Terverifikasi Administrasi dan Faktual;2019-06-21
857;beritajatim.com;Siber;;;PT;Jawa Timur;Jl. Ciliwung No. 65, Surabaya 60241;(031) 566 7326;beritajatim@gmail.com;www.beritajatim.com;Terverifikasi Administrasi dan Faktual;2019-06-18
858;BeritaNasional.ID;Siber;Bakri Remmang;Bakri Remmang;MEDIA BAKRI CENTRE;Sulawesi Selatan;Jl. Bau Baharuddin No. 2 Sengkang;(0485) 3210070 - 085299440707;ylbhbk@gmail.com;www.beritanasional.id;Terverifikasi Administratif;2019-06-17
859;Rakyatku.com;Siber;Subhan;Subhan;PT.Lintas media intermedia;Sulawesi Selatan;Jalan Pelita 2 no 2. Makassar;0411-427847;;WWW.Rakyatku.com;Terverifikasi Administratif dan Faktual;2019-06-17
860;Metrosidik.co.id;Siber;FITRA HADI;FITRA HADI;PT.MEDIA CENDIKIA ANAMBAS;Kepulauan Riau;Jl.Teluk Buluh Desa Tarempa Timur;085265222786;metrosidik@gmail.com;www.metrosidik.co.id;Terverifikasi Administratif;2019-06-17
861;lintasmerah.com;Siber;Elka Mabela;ELKA MABELA;Adiba Jaya Media;Lampung;Jalan Lintas Sumatra Nomor 60 Kampung Terbanggi Besar, Kecamatan Terbanggi Besar Kabupaten Lampung Tengah, Lampung, 34165;0852 8297 8792- 081367002153;lintasmerah@yahoo.com;www.lintasmerah.com;Terverifikasi Administratif;2019-06-17
862;demokrasibabel.com;Siber;KA. Ronie Achmad;KA. Ronie Achmad;Zaki Rizki Media;Kepulauan Bangka Belitung;Jalan Kenali Asam No 375 RT 09 RW 03 Kelurahan Pintu Air, Kecamatan Rangkui, Kota Pangkalpinang, Bangka Belitung;082186295599;tryantara@gmail.com;www.demokrasibabel.com;Terverifikasi Administratif;2019-06-17
863;kompas.com;Siber;xx;Wisnu Nugroho;pt;Jakarta;"Gedung Kompas Gramedia, Unit II Lt. 5 Jl. Palmerah Selatan No. 22 – 28
Jakarta";021-5350577;;www.kompas.com;Terverifikasi Administrasi dan Faktual;2019-06-17
864;pelitasumatera.com;Siber;Leo Mura;H. Ocktaf Riadi;PT KOMERING PELITA HARAPAN;Sumatera Selatan;JALAN MACAN KUMBANG III.A NOMOR 4560 KELURAHAN DEMANG LEBAR DAUN KECAMATAN ILIR BARAT I PALEMBANG SUMATERA SELATAN;081927272525;pelitasumatera@gmail.com;Pelitasumatera.com;Terverifikasi Administratif;2019-06-14
865;detiksumsel.com;Siber;;;PT;Sumatera Selatan;Jl. Letnan Murod Talang Ratu Km.5 No.725 RT 16/05, Palembang, Sumatera Selatan, Indonesia;0711-5710371;detiksumsel@gmail.com;www.detiksumsel.com;Terverifikasi Administrasi dan Faktual;2019-06-14
866;Riaulink.com;Siber;Safari Ar Riziq;Safari Ar Riziq;Media Riau Link;Riau;Jalan Sapta Marga, Gg. Madrasah Tembilahan Hulu, Inhil, Riau;08126781770;hermanmuhammadsyah2@gmail.com;http://riaulink.com/;Terverifikasi Administratif;2019-06-10
867;Lintas Merah;Cetak;Elka Mabela;ELKA MABELA;Adiba Jaya Media;Lampung;Jalan Lintas Sumatra Dusun II Rt02/ 05, Nomor 60 Kampung Terbanggi Besar , Kecamatan Terbanggi Besar;0852 8297 8792- 081367002153;lintasmerah01@gmail.com;www.lintasmerah.com;Terverifikasi Administratif;2019-06-10
868;gemasulawesi.com;Siber;Muhammad Irfan;SYAHRUL;GEMA SULAWESI GROUP;Sulawesi Tengah;Jl Kampali, Kelurahan Kampal, Kecamatan Parigi Kabupaten Parigi Moutong Provinsi Sulawesi Tengah Kode Pos 94471 Contact Office : (0450) 2325678;082292597008/04502325678;gemasulawesionline@gmail.com;gemasulawesi.com;Terverifikasi Administratif;2019-05-28
869;SKH Memorandum;Cetak;Arief Sosiawan;Arief Sosiawan;PT Memorandum Sejahtera;Jawa Timur;JL Karah Agung 45 Surabaya;(031) 8275390;memorandumredaksi@gmail.com;memorandum.co.id;Terverifikasi Administratif dan Faktual;2019-05-28
870;Gebraknews.co.id;Siber;Ramayulis Piliang;Ifanko Tanjung;PT Gebrak Media Indonesia;Kepulauan Riau;Ruko Aljabar Blok A No 9, Kelurahan Bengkong Indah, Kec Bengkong, Kota Batam, Provinsi Kepri;081270240663, 082391427930;ifantj87@gmail.com;Gebraknews.co.id;Terverifikasi Administratif;2019-05-27
871;Isupublik.com;Siber;Sudirman;Wanda Pratama;PT. Isu Media Indonesia;Kepulauan Riau;"Komplek Ruko Aljabar, Blok A Nomor 09. Kelurahan Bengkong Indah, Kecamatan Bengkong.
Kota Batam - Kepri";085274101327;isupublik12@gmail.com;http://isupublik.com/;Terverifikasi Administratif;2019-05-27
872;Perdanakepri.com;Siber;Yolandana, S.IP;Joko Sulistyo;Gurindam Perdana Sejahtera;Kepulauan Riau;"Jl. Ganet Perum. Griya Hangtuah Permai Blok. M No. 8
Rt. 05/ Rw. 05, Tanjungpinang – Kepulauan Riau";081267326261;gurindamperdanakepri@gmail.com;https://perdanakepri.com/;Terverifikasi Administratif;2019-05-27
873;klikampera.com;Siber;Firdaus Komar;Firdaus Komar;PT MUSI ONLINE MEDIA;Sumatera Selatan;Jalan Sultan M Mansyur, No. 13, RT 15, RW 07, Kelurahan 32 Ilir, Kecamatan Ilir Barat II, Palembang;081310001451;sosmed.umpalembang@gmail.com;www.klikampera.com;Terverifikasi Administratif;2019-05-27
874;Presmedia.id;Siber;Charles Sitompul;Charles Sitompul;Jebat Media Persada;Kepulauan Riau;Jl. Wiratno No.8, Kota Tanjungpinang, Kepulauan Riau 29122;08127002789;redaksi.presmed@gmail.com;presmedia.id;Terverifikasi Administratif;2019-05-27
875;jabarnews.com;Siber;Riana Afriadi;H Agus Hermawan;PT JABAR MEDIA NET;Jawa Barat;Ruko Pasar Modern Blok RD No.31 Komplek Batununggal Indah Kota Bandung Jawa Barat;+628161614141;redaksi@jabarnews.com;www.jabarnews.com;Terverifikasi Administratif dan Faktual;2019-05-14
876;dialeksis.com;Siber;Bahtiar Gayo;Jaka Rasyid;Dialeksis Media Jaya;Aceh;Jalan Tgk Dihaji Lorong Ujong Blang No 36 Desa Lamdingin Kecamatan Kuta Alam Banda Aceh Provinsi Aceh;0651 6303146;media.dialeksis@gmail.com;http://dialeksis.com;Terverifikasi Administratif dan Faktual;2019-05-14
877;mediadayak.co.id;Siber;Limson Dedy;Limson Dedy;PT. Media Dayak Bersama;Kalimantan Tengah;Jl. RA Kartini No.17, Palangkaraya;0536-3225156;;;Terverifikasi Administratif dan Faktual;2019-05-14
878;Suarakalbar.co.id;Siber;Kundori;Kundori;PT.Suara Media Online;Kalimantan Barat;Jalan Pangeran Cinata Gg.Arjuna Desa Raja Rt.014/RW.003 Kec.Ngabang Kab. Landak;081345067774;kundori1980@gmail.com;www.suarakalbar.co.id;Terverifikasi Administratif dan Faktual;2019-05-13
879;Harian Rakyat Gorontalo;Cetak;sahril rasid S sos;sahril rasid S sos;PT Gorontalo Cemerlang Press;Gorontalo;Jl Jhon Ario Katilie No 110 Kelurahan Paguyaman Kec Kota Tengah Provinsi Gorontalo.;823801;sahrilril@yahoo.com;radargorontalo.com;Terverifikasi Administratif dan Faktual;2019-05-13
880;inilahkoran.com;Siber;Zulfirman;Ghiok Riswoto;PT. Inilah Media Jabar;Jawa Barat;Jalan Terusan Pasteur no 167 Kel Huseinsastranegara Kec cicendo Bandung 40174;022-6127865 / 081224479222;inilahtan@gmail.com;www.inilahkoran.com;Terverifikasi Administratif dan Faktual;2019-05-13
881;Inilah Koran;Cetak;Zulfirman Tanjung;Zulfirman Tanjung;;Jawa Barat;Jalan Terusan Pasteur no 167 Kel Huseinsastranegara Kec cicendo Bandung 40174;(022) 6127793;inilahkoran@inilah.com;www.inilahkoran.com;Terverifikasi Administrasi dan Faktual;2019-05-13
882;garudadaily.com;Siber;Doni Supardi;Doni Supardi;pt;Bengkulu;Jl. Raya Nomor 009 RT 016 RW 006 Kelurahan Lingkar Timur Kecamatan Singaran Pati Kota Bengkulu;0822 800 99 789;;www.garudadaily.com Email : garudadaily@gmail.com;Terverifikasi Administrasi dan Faktual;2019-05-13
883;Tabloid Ungkap Riau;Cetak;Yulianus;Handrizal,M.Si;UNGKAP RIAU MEDIA;Riau;Jl.Delima, No.8, Pekanbaru;0811-7679-411 / 0823-8397-4411;ungkapriau@gmail.com;www.ungkapriau.com;Terverifikasi Administratif;2019-05-07
884;sergaponline.com;Siber;HADIRIKU ZEGA;HADIRIKU ZEGA;PT. DANNY ABI PERS;Riau;"JL.. SEKOLAH PERUM. TUNGGAL PERKASA PERMAI BLOK E. NO. 29
RT/RW 003/017 TENAYAN RAYA";085274236663;restytel844@gmail.com;www.sergaponline.com;Terverifikasi Administratif;2019-05-07
885;Anambas Pos;Cetak;Asril Masbah;Asril Masbah;Anambas Pos Pandu Media;Kepulauan Riau;Jl. Tanjung No. 22 Tarempa, Kabupaten Kepulauan Anambas;082385529546;redaksianambaspos@gmail.com;anambaspos.com;Terverifikasi Administratif;2019-05-07
886;bangkapos.com;Siber;Ibnu Taufik Juwariyanto;Ibnu Taufik Juwariyanto;Bangka Media Grafika;Kepulauan Bangka Belitung;Jalan KH. Abdurachman Siddik No. 1 B Kelurahan Genas Kecamatan Tamansari Kota Pangkalpinang Kepulauan Bangka Belitung;(0717) 437084-86;redaksi.bangkapos@gmail.com;bangkapos.com;Terverifikasi Administratif;2019-05-07
887;klikwarta.com;Siber;Like Jansen Supanser;Like Jansen Supanser;PT Wahana Bintang Media;Bengkulu;"GRAHA SIBER LANTAI 1
JL. Mayjen Sutoyo Rt 002 Rw 008 No. 14
Kelurahan Tanah Patah, Kecamatan Ratu Agung,
Kota Bengkulu, Bengkulu, 38224
Email : klikwarta9@gmail.com";(+62) 853 7768 8284;klikwarta9@gmail.com;Klikwarta.com;Terverifikasi Administratif dan Faktual;2019-04-23
888;Pariamantoday.com;Siber;Ikhlas Bakri;Ikhlas Bakri;Pariaman Green Multimedia;Sumatera Barat;Jl. Cut Nya Dien, Perum Jati Raya Indah, Tahap III, Jati Hilir Pariaman Tengah, Kota Pariaman;0821 6990 9098;pariaman.news@yahoo.co.id;www.pariamantoday.com;Terverifikasi Administratif dan Faktual;2019-04-15
889;Majalah Rona Kepri;Cetak;partogi angkola pakpahan;Maryana;PT. Gramedia Rona Kepri;Kepulauan Riau;Jl. Pompa Air KM 2 Tanjungpinang;085364990699;majalahronakepri@gmail.com;;Terverifikasi Administratif;2019-04-15
890;Riaulantang.com;Siber;Susi Yanti;Susi Yanti;Riaulantang Multimedia;Riau;Jalan Sudirman no 8 Simpang Pokok Jengkol Duri, Bengkalis, Riau;08127611406;riaulantang@gmail.com;www.riaulantang.com;Terverifikasi Administratif;2019-04-15
