"Bab";"Topik";"Pasal";"Deskripsi"
"Bab XVII";"Membuka Rahasia";"Pasal 322";"(1) Barang siapa dengan sengaja membuka rahasia yang wajib disimpannya karena 
jabatan atau pencariannya, baik yang sekarang maupun yang dahulu, diancam dengan 
pidana penjara paling lama sembilan bulan atau pidana denda paling banyak 
sembilan ribu rupiah. 
(2) Jika kejahatan dilakukan terhadap seorang tertentu, maka perbuatan itu hanya 
dapat dituntut atas pengaduan orang itu. 
"
"Bab XVII";"Membuka Rahasia";"Pasal 323";"(1) Barang siapa dengan sengaja memberitahukan hal-hal khusus tentang suatu 
perusahaan dagang, kerajinan atau pertanian, di mana ia bekerja atau dahulu 
bekerja, yang harus dirahasiakannya, diancam dengan pidana penjara paling lama 
sembilan bulan atau pidana denda paling banyak sembilan ribu rupiah. 
(2) Kejahatan ini hanya dituntut atas pengaduan pengurus perusahaan itu.
"
"Bab XVIII";"Kejahatan Terhadap Kemerdekaan Orang";"Pasal 324";"Barang siapa dengan biaya sendiri atau biaya orang lain menjalankan perniagaan 
budak atau melakukan perbuatan perniagaan budak atau dengan sengaja turut serta 
secara langsung atau tidak langsung dalam salah satu perbuatan tersebut di atas, 
diancam dengan pidana penjara paling lama dua belas tahun. 
"
"Bab XVIII";"Kejahatan Terhadap Kemerdekaan Orang";"Pasal 325";"(1) Barang siapa sebagai nakoda bekerja atau bertugas di kapal, sedang 
diketahuinya bahwa kapal itu dipergunakan untuk tujuan pemiagaan budak, atau 
dipakai kapal itu untuk perniagaan budak, diancam dengan pidana penjara paling 
lama dua belas tahun. 
(2) Bilamana pengangkutan itu mengakibatkan kematian seorang budak atau lebih, 
maka nakoda diancam dengan pidana penjara paling lama lima belas tahun. 
"
"Bab XVIII";"Kejahatan Terhadap Kemerdekaan Orang";"Pasal 326";"Barang siapa bekerja sebagai awak kapal di sebuah kapal, sedang diketahuinya 
bahwa kapal itu dipergunakan untuk tujuan atsu keperluan perniagaan budak, atau 
dengan sukarela tetap berengas setelah mendengar bahwa kapal itu dipergunakan 
untuk tujuan atau keperluan perniagaan budak, diancam dengan pidana penjara 
paling lama sembilan tahun. 
"
"Bab XVIII";"Kejahatan Terhadap Kemerdekaan Orang";"Pasal 327";"Barang siapa dengan biaya sendiri atau biaya orang lain, secara langsung atau 
tidak langsung bekerja sama untuk menyewakan, mengangkutkan atau mengasuransikan 
sebuah kapal, sedang diketahuinya bahwa kapal itu dipergunakan untuk tujuan 
perniagaan budak, diancam dengan pidana penjara paling lama delapan tahun. 
"
"Bab XVIII";"Kejahatan Terhadap Kemerdekaan Orang";"Pasal 328";"Barang siapa membawa pergi seorang dari tempat kediamannya atau tempat 
tinggalnya sementara dengan maksud untuk menempatkan orang itu secara melawan 
hukum di bawah kekuasaannya atau kekuasaan orang lain, atau untuk menempatkan 
dia dalam keadaan sengsara, diancam karena penculikan dengan pidana penjara 
paling lama dua belas tahun. 
"
"Bab XVIII";"Kejahatan Terhadap Kemerdekaan Orang";"Pasal 329";"Barang siapa dengan sengaja dan melawan hukum mengangkut orang ke daerah lain, 
padahal orang itu telah membuat perjanjian untuk bekerja di suatu tempat 
tertentu, diancam dengan pidana penjara paling lama tujuh tahun. 
"
"Bab XVIII";"Kejahatan Terhadap Kemerdekaan Orang";"Pasal 330";"(1) Barang siapa dengan sengaja menarik seorang yang belum cukup umur dari 
kekuasaan yang menurut undang-undang ditentukan atas dirinya, atau dari 
pengawasan orang yang berwenang untuk itu, diancam dengan pidana penjara paling 
lama tujuh tahun. 
(2) Bilamana dalam hal ini dilakukan tipu muslihat, kekerasan atau ancaman 
kekerasan, atau bilamana anaknya belum berumur dua belas tahun, dijatuhkan 
pidana penjara paling lama sembilan tahun. 
"
"Bab XVIII";"Kejahatan Terhadap Kemerdekaan Orang";"Pasal 331";"Orang siapa dengan sengaja menyemhunyikan orang yang belum dewasa yang ditarik 
atau menarik sendiri dari kekuasaan yang menurut undang-undang ditentukan atas 
dirinya. atau dari pengawasan orang yang berwenang untuk itu, atau dengan 
sengaja menariknya dari pengusutan pejabat kehakiman atau kepolisian diancam 
dengan penjara paling lama empat tahun, atau jika anak itu berumur di bawah dua 
belas tahun, dengan pidana penjara paling lama tujuh tahun. 
"
"Bab XVIII";"Kejahatan Terhadap Kemerdekaan Orang";"Pasal 332";"(1) Bersalah melarikan wanita diancam dengan pidana penjara; 
1. paling lama tujuh tahun, barang siapa membawa pergi seorang wanita yang belum 
dewasa, tanpa dikehendaki orang tuanya atau walinya tetapi dengan 
persetujuannya. dengan maksud untuk memastikan penguasaan tezhadap wanita itu, 
baik di dalam maupun di luar perkawinan; 
2. paling lama sembilan tahun, barang siapa membawa pergi seorang wanita dengan 
tipu muslihat, kekerasan atau ancaman kekerasan, dengan maksud untuk memastikan 
penguasaannya terhadap wanita itu, baik di dalam maupun di luar perkawinan. 
(2) Penuntutan hanya dilakukan atas pengaduan. 
(3) Pengaduan dilakukan: 
a. jika wanita ketika dibawa pergi belum dewasa, oleh dia sendiri atau orang 
lain yang harus memberi izin bila dia kawin; 
b. jika wanita ketika dibawa pergi sudah dewasa, oleh dia sendiri atau oleh 
suaminya.
(4) Jika yang membaiva pergi lalu kawin dengan wanita yang dibawa pergi dan 
terhadap perkawinan itu berlaku aturan aturan Burgerlijk Wetboek, maka tak dapat 
dijatuhkan pidana sebelum perkawinan itu dinyatakan batal. 
"
"Bab XVIII";"Kejahatan Terhadap Kemerdekaan Orang";"Pasal 333";"(1) Barang siapa dengan sengaja dan melawan hukum merampas kemerdekaan 
seseorang, atau meneruskan perarnpasan kemerdekaan yang demikian, diancam dengan 
pidana penjara paling lama delapan tahun. 
(2) Jika perbuatan itu mengakibatkan luka-luka berat maka yang bersalah diancam 
dengan pidana penjara paling lama sembilan tahun. 
(3) Jika mengakibatkan mati diancam dengan pidana penjara paling lama dua belas 
tahun. 
(4) Pidana yang ditentukan dalam pasal ini diterapkan juga bagi orang yang 
dengan sengaja dan melawan hukum memberi tempat untuk perampasan kemerdekaan. 
"
"Bab XVIII";"Kejahatan Terhadap Kemerdekaan Orang";"Pasal 334";"(1) Barang siapa karena kealpaannya menyebabkan seorang dirampas kemerdekaannya 
secara melawan hukum, atau diteruskannya perampasan kemerdekaan yang demikian, 
diancam dengan pidana kurungan paling lama tiga bulan atau pidana denda paling 
banyak tiga ratus rupiah. 
(2) Jika perbuatan itu mengakibatkan luka-luka berat, maka yang bersalah diancam 
dengan pidana kurungan paling lama sembilan bulan. 
(3) Jika mengakibatkan mati, diancam dengan pidana kurungan paling lama satu 
tahun. 
"
"Bab XVIII";"Kejahatan Terhadap Kemerdekaan Orang";"Pasal 335";"(1) Diancam dengan pidana penjara paling lama satu tahun atau denda paling 
banyak empat ribu lima ratus rupiah: 
1. barang siapa secara melawan hukum memaksa orang lain supaya melakukan, tidak 
melakukan atau membiarkan sesuatu, dengan memakai kekerasan, sesuatu perbuatan 
lain maupun perlakuan yang tak menyenangkan, atau dengan memakai ancaman 
kekerasan, sesuatu perbuatan lain maupun perlakuan yang tak menyenangkan, baik 
terhadap orang itu sendiri maupun orang lain; 
2 barang siapa memaksa orang lain supaya melakukan, tidak melakukan atau 
membiarkan sesuatu dengan ancaman pencemaran atau pencemaran tertulis. 
(2) Dalam hal sebagaimana dirumuskan dalam butir 2, kejahatan hanya dituntut 
atas pengaduan orang yang terkena. 
"
"Bab XVIII";"Kejahatan Terhadap Kemerdekaan Orang";"Pasal 336";"(1) Diancam dengan pidana penjara paling lama dua tahun delapan bulan, barang 
siapa mengancam dengan kekerasan terhadap orang atau barang secara 
terang-terangan dengan tenaga bersama, dengan suatu kejahatan yang menimbulkan 
bahaya umum bagi keamanan orang atau barang, dengan perkosaan atau perbuatan 
yang melanggar kehormatan kesusilaan, dengan sesuatu kejahatan terhadap nyawa, 
dengan penganiayaan berat atau dengan pembakaran. 
(2) Bilamana ancaman dilakukan secara tertulis dan dengan syarat tertentu, maka 
dikenakan pidana penjara paling lama lima tahun. 
"
"Bab XVIII";"Kejahatan Terhadap Kemerdekaan Orang";"Pasal 337";"Dalam hal pemidanaan berdasarkan salah satu kejahatan dalam pasal 324 - 333 dan 
pasal 336 ayat kedua, dapat dijatuhkan pencabutan hak berdasarkan pasal 35 No. 1 
- 4.
"
"Bab XIX";"Kejahatan Terhadap Nyawa";"Pasal 338";"Barang siapa dengan sengaja merampas nyawa orang lain, diancam karena pembunuhan 
dengan pidana penjara paling lama lima belas tahun. 
"
"Bab XIX";"Kejahatan Terhadap Nyawa";"Pasal 339";"Pembunuhan yang diikuti, disertai atau didahului oleh suatu perbuatan pidana, 
yang dilakukan dengan maksud untuk mempersiapkan atau mempermudah 
pelaksanaannya, atau untuk melepaskan diri sendiri maupun peserta lainnya dari 
pidana dalam hal tertangkap tangan, ataupun untuk memastikan penguasaan barang 
yang diperolehnya secara melawan hukum, diancam dengan pidana penjara seumur 
hidup atau selama waktu tertentu, paling lama dua puluh tahun. 
"
"Bab XIX";"Kejahatan Terhadap Nyawa";"Pasal 340";"Barang siapa dengan sengaja dan dengan rencana terlebih dahulu merampas nyawa 
orang lain, diancam karena pembunuhan dengan rencana, dengan pidana rnati atau 
pidana penjara seumur hidup atau selama waktu tertentu, paling lama dua puluh 
tahun. 
"
"Bab XIX";"Kejahatan Terhadap Nyawa";"Pasal 341";"Seorang ibu yang karena takut akan ketahuan melahirkan anak pada saat anak 
dilahirkan atau tidak lama kemudian, dengan sengaja merampas nyawa anaknya, 
diancam karena membunuh anak sendiri, dengan pidana penjara paling lama tujuh 
tahun. 
"
"Bab XIX";"Kejahatan Terhadap Nyawa";"Pasal 342";"Seorang ibu yang untuk melaksanakan niat yang ditentukan karena takut akan 
ketahuan bahwa ia akan melahirkan anak pada saat anak dilahirkan atau tidak lama 
kemudian merampas nyawa anaknya, diancam karena melakukan pembunuhan anak 
sendiri dengan rencana, dengan pidana penjara paling lama semhi- lan tahun. 
"
"Bab XIX";"Kejahatan Terhadap Nyawa";"Pasal 343";"Kejahatan yang diterangkan dalam pasal 341 dan 342 dipandang bagi orang lain 
yang turut serta melakukan, sebagai pembunuhan atau pembunuhan anak dengan 
rencana. 
"
"Bab XIX";"Kejahatan Terhadap Nyawa";"Pasal 344";"Barang siapa merampas nyawa orang lain atas permintaan orang itu sendiri yang 
jelas dinyatakan dengan kesungguhan hati, diancam dengan pidana penjara paling 
lama dua belas tahun. 
"
"Bab XIX";"Kejahatan Terhadap Nyawa";"Pasal 345";"Barang siapa sengaja mendorong orang lain untuk bunuh diri, menolongnya dalam 
perbuatan itu atau memberi sarana kepadanya untuk itu, diancam dengan pidana 
penjara paling lama empat tahun kalau orang itu jadi bunuh diri. 
"
"Bab XIX";"Kejahatan Terhadap Nyawa";"Pasal 346 Seorang";"atau menyuruh orang lain untuk itu, diancam dengan pidana penjara paling lama 
empat tahun. 
"
"Bab XIX";"Kejahatan Terhadap Nyawa";"Pasal 347";"(1) Barang siapa dengan sengaja menggugurkan atau mematikan kandungan seorang 
wanita tanpa persetujuannya, diancam dengan pidana penjara paling lama dua belas 
tahun. 
(2) Jika perbuatan itu mengakibatkan matinya wanita tersebut diancam dengan 
pidana penjara paling lama lima belas tahun. 
"
"Bab XIX";"Kejahatan Terhadap Nyawa";"Pasal 348";"(1) Barang siapa dengan sengaja menggugurkan atau mematikan kandungan seorang 
wanita dengan persetujuannya, diancam dengan pidana penjara paling lama lima 
tahun enam bulan. 
(2) Jika perbuatan itu mengakibatkan matinya wanita tersebut, diancam dengan 
pidana penjara paling lama tujuh tahun. 
"
"Bab XIX";"Kejahatan Terhadap Nyawa";"Pasal 349";"Jika seorang dokter, bidan atau juru obat membantu melakukan kejahatan 
berdasarkan pasal 346, ataupun melakukan atau membantu melakukan salah satu 
kejahatan yang diterangkan dalam pasal 347 dan 348, maka pidana yang ditentukan 
dalam pasal itu dapat ditambah dengan sepertiga dan dapat dicabut hak untuk 
menjalankan pencarian dalam mana kejahatan dilakukan. 
"
"Bab XIX";"Kejahatan Terhadap Nyawa";"Pasal 350";"Dalam hal pemidanaan karena pembunuhan, karena pembunuhan dengan rencana, atau 
karena salah satu kejahatan berdasarkan Pasal 344, 347 dan 348, dapat dijatuhkan 
pencabutan hak berdasarkan pasal 35 No. 1- 5. 
"
"Bab XX";"Penganiayaan";"Pasal 351";"(1) Penganiayaan diancam dengan pidana penjara paling lama dua tahun delapan 
bulan atau pidana denda paling banyak empat ribu lima ratus rupiah, 
(2) Jika perbuatan mengakibatkan luka-luka berat, yang bersalah diancam dengan 
pidana penjara paling lama lima tahun. 
(3) Jika mengakibatkan mati, diancam dengan pidana penjara paling lama tujuh 
tahun. 
(4) Dengan penganiayaan disamakan sengaja merusak kesehatan. 
(5) Percobaan untuk melakukan kejahatan ini tidak dipidana. 
"
"Bab XX";"Penganiayaan";"Pasal 352";"(1) Kecuali yang tersebut dalam pasal 353 dan 356, maka penganiayaan yang tidak 
menimbulkan penyakit atau halangan untuk menjalankan pekerjaan jabatan atau 
pencarian, diancam, sebagai penganiayaan ringan, dengan pidana penjara paling 
lama tiga bulan atau pidana denda paling banyak empat ribu lima ratus rupiah. 
Pidana dapat ditambah sepertiga bagi orang yang melakukan kejahatan itu terhadap 
orang yang bekerja padanya, atau menjadi bawahannya. 
(2) Percobaan untuk melakukan kejahatan ini tidak dipidana. 
"
"Bab XX";"Penganiayaan";"Pasal 353";"(1) Penganiayaan dengan rencana lebih dahulu, diancam dengan pidana penjara 
paling lama empat tahun. 
(2) Jika perbuatan itu mengakibatka luka-luka berat, yang bersalah dikenakan 
pidana penjara paling lama tujuh tahun.
(3) Jika perbuatan itu mengkibatkan kematian yang bersalah diancam dengan pidana 
penjara paling lama sembilan tahun 
"
"Bab XX";"Penganiayaan";"Pasal 354";"(1) Barang siapa sengaja melukai berat orang lain, diancam karena melakukan 
penganiayaan berat dengan pidana penjara paling lama delapan tahun.
(2) Jika perbuatan itu mengakibatkan kematian, yang bersalah diancam dengan 
pidana penjara paling lama sepuluh tahun. 
"
"Bab XX";"Penganiayaan";"Pasal 355";"(1) Penganiayaan berat yang dilakukan dengan rencana terlebih dahulu, diancam 
dengan pidana penjara paling lama dua belas tahun.
(2) Jika perbuatan itu mengakibatkan kematian, yang bersalah diancam dengan 
pidana penjara paling lams lima belas tahun. 
"
"Bab XX";"Penganiayaan";"Pasal 356";"Pidana yang ditentukan dalam pasal 351, 353, 354 dan 355 dapat ditambah dengan 
sepertiga: 
1. bagi yang melakukan kejahatan itu terhadap ibunya, bapaknya yang sah, 
istrinya atau anaknya; 
2. jika kejahatan itu dilakukan terhadap seorang pejsbat ketika atau karena 
menjalankan tugasnya yang sah; 
3. jika kejahatan itu dilakukan dengan memberikan bahan yang herbahaya bagi 
nyawa atau kesehatan untuk dimakan atau diminum. 
"
"Bab XX";"Penganiayaan";"Pasal 357";"Dalam hal pemidanaan karena salah satu kejahatan berdasarkan pasal 353 dan 355, 
dapat dijatuhkan pencabutan hak berdasarkan pasal 3o No. 1 - 4. 
"
"Bab XX";"Penganiayaan";"Pasal 358";"Mereka yang sengaja turut serta dalam penyerangan atau perkelahian di mana 
terlibat beberapa orang, selain tanggung jawab masing-masing terhadap apa yang 
khusus dilakukan olehnya, diancam: 
1. dengan pidana penjara paling lama dua tahun delapan bulan, jika akibat 
penyerangan atau perkelahian itu ada yang luka-luka berat; 
2. dengan pidana penjara paling lama empat tahun, jika akibatnya ada yang mati. 
"
"Bab XXI";"Menyebabkan Mati Atau Luka-Luka Karena Kealpaan";"Pasal 359";"Barang siapa karena kesalahannya (kealpaannya) menyebabkan orang lain mati, 
diancam dengan pidana penjara paling lama lima tahun atau pidana kurungan paling 
lama satu tahun. 
"
"Bab XXI";"Menyebabkan Mati Atau Luka-Luka Karena Kealpaan";"Pasal 360";"(1) Barang siapa karena kesalahannya (kealpaannya) menyebabkan orang lain 
mendapat luka-luka berat, diancam dengan pidana penjara paling lama lima tahun 
atau pidana kurungan paling lama satu tahun. 
(2) Barang siapa karena kesalahannya (kealpaannya) menyebahkan orang lain 
luka-luka sedemikian rupa sehingga timhul penyakit atau halangan menjalankan 
pekerjaan jabatan atau pencarian selama waktu tertentu, diancam dengan pidana 
penjara paling lama sembilan bulan atau pidana kurungan paling lama enam bulan 
atau pidana denda paling tinggi empat ribu lima ratus rupiah. 
"
"Bab XXI";"Menyebabkan Mati Atau Luka-Luka Karena Kealpaan";"Pasal 361";"Jika kejahatan yang diterangkan dalam bab ini dilakukan dalam menjalankan suatu 
jabatan atau pencarian, maka pidana ditamhah dengan sepertiga dan yang bersalah 
dapat dicahut haknya untuk menjalankan pencarian dalam mana dilakukan kejahatan 
dan hakim dapat memerintahkan supaya putusannya diumumkan.
"
"Bab XXII";"Pencurian";"Pasal 362";"Barang siapa mengambil barang sesuatu, yang seluruhnya atau sebagian kepunyaan 
orang lain, dengan maksud untuk dimiliki secara melawan hukum, diancam karena 
pencurian, dengan pidana penjara paling lama lima tahun atau pidana denda paling 
banyak sembilan ratus rupiah. 
"
"Bab XXII";"Pencurian";"Pasal 363";"(1) Diancam dengan pidana penjara paling lama tujuh tahun: 
1. pencurian ternak; 
2. pencurian pada waktu ada kebakaran, letusan, banjir gempa bumi, atau gempa 
laut, gunung meletus, kapal karam, kapal terdampar, kecelakaan kereta api, 
huru-hara, pemberontakan atau bahaya perang;
3. pencurian di waktu malam dalam sebuah rumah atau pekarangan tertutup yang ada 
rumahnya, yang dilakukan oleh orang yang ada di situ tidak diketahui atau tidak 
dikehendaki oleh yang berhak; 
4. pencurian yang dilakukan oleh dua orang atau lebih:
5. pencurian yang untuk masuk ke tempat melakukan kejahatan, atau untuk sampai 
pada barang yang diambil, dilakukan dengan merusak, memotong atau memanjat, atau 
dengan memakai anak kunci palsu, perintah palsu atau pakaian jabatan palsu. 
(2) Jika pencurian yang diterangkan dalam butir 3 disertai dengan salah satu hal 
dalam butir 4 dan 5, maka diancam dengan pidana penjara paling lama sembilan 
tahun. 
"
"Bab XXII";"Pencurian";"Pasal 364";"Perbuatan yang diterangkan dalam pasal 362 dan pasal 363 butir 4, begitu pun 
perbuatan yang diterangkan dalam pasal 363 butir 5, apabila tidak dilakukan 
dalam sebuah rumah atau pekarangan tertutup yang ada rumahnya, jika harga barang 
yang dicuri tidak lebih dari dua puluh lima rupiah, diancam karena pencurian 
ringan dengan pidana penjara paling lama tiga bulan atau pidana denda paling 
banyak dua ratus lima puluh rupiah. 
"
"Bab XXII";"Pencurian";"Pasal 365";"(1) Diancam dengan pidana penjara paling lama sembilan tahun pencurian yang 
didahului, disertai atau diikuti dengan kekerasan atau ancaman kekerasan, 
terhadap orang dengan maksud untuk mempersiapkan atsu mempermudah pencurian, 
atau dalam hal tertangkap tangan, untuk memungkinkan melarikan diri sendiri atau 
peserta lainnya, atau untuk tetap menguasai barang yang dicuri. 
(2) Diancam dengan pidana penjara paling lama dua belas tahun: 
1. jika perbuatan dilakukan pada waktu malam dalam sebuah rumah atau pekarangan 
tertutup yang ada rumahnya, di berjalan; 
2. jika perbuatan dilakukan oleh dua orang atau lebih dengan bersekutu;
3. jika masuk ke tempat melakukan kejahatan dengan merusak atau memanjat atau 
dengan memakai anak kunci palsu, periniah palsu atau pakaian jabatan palsu. 
4. jika perbuatan mengakibatkan luka-luka berat.
(3) Jika perbuatan mengakibatkan kematian maka diancam dengan pidana penjara 
paling lama lima belas tuhun. 
(4) Diancam dengan pidana mati atau pidana penjara seumur hidup atau selama 
waktu tertentu paling lama dua puluh tahun, jika perbuatan mengakihntkan luka 
berat atau kematian dan dilakukan oleh dua orang atau lebih dengan bersekutu, 
disertai pula oleh salah satu hal yang diterangkan dalam no. 1 dan 3. 
"
"Bab XXII";"Pencurian";"Pasal 366";"Dalam hal pemidanaan berdasarkan salah satu perbuatan yang dirumuskan dalum 
pasal 362. 363, dan 865 dapat dijatuhkan pencabutan hak berdasarkan pasal 35 No. 
1 - 4. 
"
"Bab XXII";"Pencurian";"Pasal 367";"(1) Jika pembuat atau pemhantu ciari salah satu kejahatan dalam bab ini adalah 
suami (istri) dari orang yang terkena kejahatan dan tidak terpisah meja dan 
ranjang atau terpisah harta kekayaan, maka terhadap pembuat atau pembantu itu 
tidak mungkin diadakan tuntutan pidana. 
(2) Jika dia adalah suami (istri) yang terpisah meja dan ranjang atau terpisah 
harta kekayaan, atau jika dia adalah keluarga sedarah atau semenda, baik dalam 
garis lurus maupun garis menyimpang derajat kedua maka terhadap orang itu hanya 
mungkin diadakan penuntutan jika ada pengaduan yang terkena kejahatan. 
(3) Jika menurut lembaga matriarkal kekuasaan bapak dilakukan oleh orang lain 
daripada bapak kandung (sendiri), maka ketentuan ayat di atas berlaku juga bagi 
orang itu.
"
"Bab XXIII";"Pemerasan Dan Pengancaman";"Pasal 368";"(1) Barang siapa dengan maksud untuk menguntungkan diri sendiri atau orang lain 
secara melawan hukum, memaksa seorang dengan kekerasan atau ancaman kekerasan 
untuk memberikan barang sesuatu, yang seluruhnya atau sebagian adalah kepunyaan 
orang itu atau orang lain, atau supaya membuat hutang maupun menghapuskan 
piutang, diancam karena pemerasan dengan pidana penjara paling lama sembilan 
bulan. 
(2) Ketentuan pasal 365 ayat kedua, ketiga, dan keempat berlaku bagi kejahatan 
ini. 
"
"Bab XXIII";"Pemerasan Dan Pengancaman";"Pasal 369";"(1) Barang siapa dengan maksud untuk menguntungkan diri sendiri atau orang lain 
secara melawan hukum. dengan ancaman pencemaran baik dengan lisan maupun 
tulisan, atau dengan ancaman akan membuka rahasia, memaksa seorang supaya 
memberikan barang sesuatu yang seluruhnya atau sebagian kepunyaan orang itu atau 
orang lain. atau supaya membuat hutang atau menghapuskan piutang, diancam dengan 
pidana penjara paling lama empat tahun. 
(2) Kejahatan ini tidak dituntut kecuali atas pengaduan orang yang terkena 
kejahatan. 
"
"Bab XXIII";"Pemerasan Dan Pengancaman";"Pasal 370";"Ketentuan pasal 367 berlaku bagi kejahatan-kejahatan yang di rumuskan dalam bab 
ini. 
"
"Bab XXIII";"Pemerasan Dan Pengancaman";"Pasal 37l";"Dalam hal pemidanaan berdasarkan salah satu kejahatan yang dirumuskan dalam bab 
ini dapat dijatuhkan pencabutan hak berdasarkan pasal 35 no. 1 - 4.
"
"Bab XXIV";"Penggelapan";"Pasal 372";"Barang siapa dengan sengaja dan melawan hukum memiliki barang sesuatu yang 
seluruhnya atau sebagian adalah kepunyaan orang lain, tetapi yang ada dalam 
kekuasaannya bukan karena kejahatan diancam karena penggelapan, dengan pidana 
penjara paling lama empat tahun atau pidana denda paling banyak sembilan ratus 
rupiah. 
"
"Bab XXIV";"Penggelapan";"Pasal 373";"Perbuatan yang dirumuskan dalam pasal 372 apabila yang digelapkan bukan ternak 
dan harganya tidak lebih dari dua puluh lima rupiah, diancam sebagai penggelapan 
ringan dengan pidana penjara paling lama tiga bulan atau pidana denda paling 
banyak dua ratus lima puluh rupiah. 
"
"Bab XXIV";"Penggelapan";"Pasal 374";"Penggelapan yang dilakukan oleh orang yang penguasaannya terhadap barang 
disebabkan karena ada hubungan kerja atau karena pencarian atau karena mendapat 
upah untuk itu, diancam dengan pidana penjara paling lama lima tahun. 
"
"Bab XXIV";"Penggelapan";"Pasal 375";"Penggelapan yang dilakukan oleh orang yang karena terpaksa diberi barang untuk 
disimpan, atau yang dilakukan oleh wali pengampu, pengurus atau pelaksana surat 
wasiat, pengurus lembaga sosial atau yayasan, terhadap barang sesuatu yang 
dikuasainya selaku demikian, diancam dengan pidana penjara paling lama enam 
tahun. 
"
"Bab XXIV";"Penggelapan";"Pasal 376";"Ketentuan dalam pasal 367 berlaku bagi kejahatan-kejahatan yang dirumuskan dalam 
bab ini. 
"
"Bab XXIV";"Penggelapan";"Pasal 377";"(1) Dalam hal pemidanaan berdasarkan salah satu kejahatan yang dirumuskan dalam 
pasal 372, 374, dan 375 hakim dapat memerintahkan supaya putusan diumumkan dan 
dicabutnya hak-hak berdasarkan pasal 35 No. 1 4. 
(2) Jika kejahatan dilakukan dalam menjalankan pencarian maka dapat dicabut 
haknya untuk menjalankan pencarian itu.
"
"Bab XXV";"Perbuatan Curang";"Pasal 378";"Barang siapa dengan maksud untuk menguntungkan diri sendiri atau orang lain 
secara melawan hukum, dengan memakai nama palsu atau martabat palsu, dengan tipu 
muslihat, ataupun rangkaian kebohongan, menggerakkan orang lain untuk 
menyerahkan barang sesuatu kepadanya, atau supaya memberi hutang rnaupun 
menghapuskan piutang diancam karena penipuan dengan pidana penjara paling lama 
empat tahun. 
"
"Bab XXV";"Perbuatan Curang";"Pasal 379";"Perbuatan yang dirumuskan dalam pasal 378, jika barang yang diserahkan itu bukan 
ternak dan harga daripada barang, hutang atau piutang itu tidak lebih dari dua 
puluh lima rupiah diancam sebagai penipuan ringan dengan pidana penjara paling 
lama tiga bulan atau pidana denda paling banyak dua ratus lima puluh rupiah. 
"
"Bab XXV";"Perbuatan Curang";"Pasal 379a";"Barang siapa menjadikan sebagai mata pencarian atau kebiasaan untuk membeli 
barang- barang, dengan maksud supaya tanpa pembayaran seluruhnya memastikan 
penguasaan terhadap barang- barang itu untuk diri sendiri maupun orang lain 
diancam dengan pidana penjara paling lama empat tahun. 
"
"Bab XXV";"Perbuatan Curang";"Pasal 380";"(1) Diancam dengan pidana penjara paling lama dua tahun delapan bulan atau 
pidana denda paling banyak lima ribu rupiah: 
1. barang siapa menaruh suatu nama atau tanda secara palsu di atas atau di dalam 
suatu hasil kesusastraan, keilmuan, kesenian atau kerajinan, atau memalsu nama 
atau tanda yang asli, dengan mal sud supaya orang mengira bahwa itu benar-benar 
buah hasil orang yang nama atau tandanya ditaruh olehnya di atas atau di 
dalamnya tadi; 
2. barang siapa dengan sengaja menjual menawarkan menyerahkan, mempunyai 
persediaan untuk dijual at.au memasukkan ke Indonesia, hasil kesusastraan, 
keilmuan, kesenian atau kerajinan. yang di dalam atau di atasnya telah ditaruh 
nama at.au tanda yang palsu, atau yang nama atau tandanya yang asli telah 
dipalsu, seakan-akan itu benar- benar hasil orang yang nama atau tandanya telah 
ditaruh secara palsu tadi. 
(2) Jika hasil itu kepunyaan terpidana, maka boleh dirampas. 
"
"Bab XXV";"Perbuatan Curang";"Pasal 381";"Barang siapa dengan jalan tipu muslihat menyesatkan penanggung asuransi mengenai 
keadaan-keadaan yang berhubungan dengan pertanggungan sehingga disetujui 
perjanjian, hal mana tentu tidak akan disetujuinya atau setidak-tidaknya tidak 
dengan syarat- syarat yang demikian, jika diketahuinya keadaan-keadaan 
sebenarnya diancam dengan pidana penjara paling lama satu tahun empat bulan. 
"
"Bab XXV";"Perbuatan Curang";"Pasal 382";"Barang siapa dengan maksud untuk menguntungkan diri sendiri atau orang lain 
secara melawan hukum. atas kerugian penanggung asuransi atau pemegang surat 
bodemerij yang sah. menimbulkan kebakaran atau ledakan pada suatu barang yang 
dipertanggungkan terhadap bahaya kebakaran, atau mengaramkan. mendamparkan. 
menghancurkan, merusakkan. atau membikin tak dapat dipakai. kapal yang 
dipertanggungkan atau yang muatannya maupun upah yang akan diterima untuk 
pengangkutan muatannya yang dipertanggungkan, ataupun yang atasnya telah 
diterima uang bode- merij diancarn dengan pidana penjara paling lama lima tahun. 

"
"Bab XXV";"Perbuatan Curang";"Pasal 382 bis";"Barang siapa untuk mendapatkan, melangsungkan atau memperluas hasil perdagangan 
atau perusahaan milik sendiri atau orang lain, melakukan perbuatan curang untuk 
menyesatkan khalayak umum atau seorang tertentu, diancam, jika perbuatan itu 
dapat enimbulkan kerugian bagi konkuren-konkurennya atau konguren-konkuren orang 
lain, karena persaingan curang, dengan pidana penjara paling lama satu tahun 
empat bulan atau pidana denda paling banyak tiga belas ribu lima ratus rupiah. 
"
